2024-2025,,Συνολικά εκκρεμή αιτήματα,,Συνολική Μεταβολή,
,Μαϊ-24,,265.536,,
,Ιουν-24,,267.885,0,9%,
,Ιουλ-24,,270.895,1,1%,
,Αυγ-24,,269.184,-0,6%,
,Σεπ-24,,272.930,1,4%,
,Οκτ-24,,279.412,2,4%,
,Νοε-24,,280.474,0,4%,
,Δεκ-24,,287.397,2,5%,
,Ιαν-25,,292.295,1,7%,
,Φεβ-25,,295.710,1,2%,
,Μαρ-25,,296.170,0,2%,
,Απρ-25,,295.561,-0,2%,
,Μαϊ-25,,293.035,-0,9%,
