Ισχύουσες Άδειες Διαμονής Πολιτών Τρίτων Χωρών
– ΜΑΙΟΣ 2025,,Άρρεν,,,Θήλυ,,,Άθροισμα,,
,Απασχόληση,,82.657,,,36.026,,,118.683,
,Λοιπά,,125.391,,,103.853,,,229.244,
,Οικογενειακή επανένωση,,61.125,,,90.359,,,151.484,
,Σπουδές,,883,,,799,,,1.682,
,ΣΥΝΟΛΟ,,270.056,,,231.037,,,501.093,
