,Εκδοθείσες Άδειες Διαμονής - Ανανεώσεις ανά μήνα και κατηγορία Eurostat,,,,,,,,,,,,,,,,
,ΜΗΝΑΣ,,Α π α σ χ ό λ η ση,,,Λοιπά,,,Οικ. Επανένωση,,,Σπουδές,,,Σύνολο,,
,ΚΑΤΑΘΕΣΗΣ,,,,,,,,,,,,,,,,
,ΑΙΤΗΜΑΤΟΣ,,,,,,,,,,,,,,,,
,Μαϊ-24,,,2.157,,,2.919,,,2.064,,,55,,,7.195,
,Ιουν-24,,,1.841,,,2.363,,,2.016,,,75,,,6.295,
,Ιουλ-24,,,2.056,,,2.365,,,1.780,,,44,,,6.245,
,Αυγ-24,,,1.243,,,1.534,,,1.027,,,48,,,3.852,
,Σεπ-24,,,1.547,,,2.122,,,1.407,,,94,,,5.170,
,Οκτ-24,,,1.171,,,1.873,,,1.217,,,78,,,4.339,
,Νοε-24,,,884,,,1.785,,,1.138,,,103,,,3.910,
,Δεκ-24,,,704,,,1.305,,,871,,,65,,,2.945,
,Ιαν-25,,,715,,,1.072,,,788,,,42,,,2.617,
,Φεβ-25,,,537,,,527,,,486,,,36,,,1.586,
,Μαρ-25,,,362,,,354,,,304,,,52,,,1.072,
,Απρ-25,,,214,,,217,,,148,,,6,,,585,
,Μαϊ-25,,,43,,,50,,,34,,,2,,,129,
,Γενικό Άθροισμα,,,13.474,,,18.486,,,13.280,,,700,,,45.940,
